date,dc_id,load_MW,cooling_kW
2019-06-11,DC_01,57.49,6264.0
2019-06-12,DC_01,55.94,6045.4
2019-06-13,DC_01,57.59,6331.8
2019-06-14,DC_01,56.6,6127.4
2019-06-15,DC_01,58.09,6206.5
2019-06-16,DC_01,56.77,6183.4
2019-06-17,DC_01,56.97,6112.8
2019-06-18,DC_01,57.34,6098.7
2019-06-19,DC_01,57.58,6131.2
2019-06-20,DC_01,57.57,6230.9
2019-06-21,DC_01,56.44,6190.5
2019-06-22,DC_01,57.6,6303.9
2019-06-23,DC_01,57.48,6287.9
2019-06-24,DC_01,57.57,6305.0
2019-06-25,DC_01,57.53,6211.1
2019-06-26,DC_01,57.18,6260.0
2019-06-27,DC_01,56.97,6158.8
2019-06-28,DC_01,57.82,6142.4
2019-06-29,DC_01,56.72,6094.9
2019-06-30,DC_01,57.42,6260.9
2019-07-01,DC_01,56.96,6199.2
2019-07-02,DC_01,58.38,6241.7
2019-07-03,DC_01,56.64,5938.7
2019-07-04,DC_01,56.93,6157.2
2019-07-05,DC_01,58.79,6284.1
2019-07-06,DC_01,57.97,6185.2
2019-07-07,DC_01,57.33,6172.0
2019-07-08,DC_01,56.89,6177.4
2019-07-09,DC_01,57.35,6396.1
2019-07-10,DC_01,57.88,6200.5
2019-07-11,DC_01,57.82,6225.2
2019-07-12,DC_01,57.58,6230.8
2019-07-13,DC_01,58.63,6247.3
2019-07-14,DC_01,57.05,6271.5
2019-07-15,DC_01,56.53,6380.4
2019-07-16,DC_01,59.01,6332.8
2019-07-17,DC_01,58.03,6216.2
2019-07-18,DC_01,57.81,6349.2
2019-07-19,DC_01,57.71,6082.8
2019-07-20,DC_01,57.8,6224.0
2019-07-21,DC_01,57.0,6180.8
2019-07-22,DC_01,58.03,6230.0
2019-07-23,DC_01,58.11,6328.0
2019-07-24,DC_01,57.88,6325.7
2019-07-25,DC_01,56.65,6135.1
2019-07-26,DC_01,57.96,6232.3
2019-07-27,DC_01,58.1,6194.1
2019-07-28,DC_01,57.66,6269.0
2019-07-29,DC_01,57.44,6366.2
2019-07-30,DC_01,58.33,6394.8
2019-07-31,DC_01,57.89,6348.7
2019-08-01,DC_01,57.62,6314.6
2019-08-02,DC_01,57.81,6169.7
2019-08-03,DC_01,57.09,6185.3
2019-08-04,DC_01,58.68,6222.9
2019-08-05,DC_01,58.13,6401.7
2019-08-06,DC_01,57.63,6270.8
2019-08-07,DC_01,56.85,6351.5
2019-08-08,DC_01,58.16,6218.6
2019-08-09,DC_01,58.48,6284.6
2019-08-10,DC_01,58.01,6262.4
2019-08-11,DC_01,57.39,6155.3
2019-08-12,DC_01,56.93,6284.3
2019-08-13,DC_01,58.0,6114.5
2019-08-14,DC_01,56.98,6093.0
2019-08-15,DC_01,58.04,6230.5
2019-08-16,DC_01,58.61,6353.1
2019-08-17,DC_01,57.91,6218.2
2019-08-18,DC_01,57.86,6453.0
2019-08-19,DC_01,56.75,6269.4
2019-08-20,DC_01,57.55,6277.3
2019-08-21,DC_01,57.51,6147.3
2019-08-22,DC_01,56.99,6285.5
2019-08-23,DC_01,58.67,6355.3
2019-08-24,DC_01,57.59,6281.0
2019-08-25,DC_01,57.79,6296.9
2019-08-26,DC_01,59.07,6318.0
2019-08-27,DC_01,58.42,6181.1
2019-08-28,DC_01,58.83,6375.8
2019-08-29,DC_01,58.67,6248.5
2019-08-30,DC_01,58.15,6373.3
2019-08-31,DC_01,57.43,6143.7
2019-09-01,DC_01,57.44,6370.1
2019-09-02,DC_01,58.38,6279.9
2019-09-03,DC_01,57.69,6268.9
2019-09-04,DC_01,56.88,6229.4
2019-09-05,DC_01,58.04,6292.6
2019-09-06,DC_01,58.1,6309.5
2019-09-07,DC_01,57.31,6404.6
2019-09-08,DC_01,58.77,6334.5
2019-09-09,DC_01,57.34,6199.0
2019-09-10,DC_01,59.05,6223.7
2019-09-11,DC_01,58.64,6291.2
2019-09-12,DC_01,58.48,6383.9
2019-09-13,DC_01,57.86,6327.0
2019-09-14,DC_01,58.03,6341.3
2019-09-15,DC_01,58.54,6360.5
2019-09-16,DC_01,57.99,6140.2
2019-09-17,DC_01,57.99,6302.2
2019-09-18,DC_01,58.98,6272.4
2019-09-19,DC_01,57.78,6388.6
2019-09-20,DC_01,58.23,6401.7
2019-09-21,DC_01,57.9,6443.1
2019-09-22,DC_01,57.14,6242.5
2019-09-23,DC_01,58.64,6249.6
2019-09-24,DC_01,58.23,6247.9
2019-09-25,DC_01,58.57,6271.9
2019-09-26,DC_01,57.59,6293.1
2019-09-27,DC_01,57.73,6201.8
2019-09-28,DC_01,58.47,6316.1
2019-09-29,DC_01,58.35,6100.3
2019-09-30,DC_01,58.54,6430.7
2019-10-01,DC_01,57.97,6253.8
2019-10-02,DC_01,58.44,6265.8
2019-10-03,DC_01,58.93,6317.7
2019-10-04,DC_01,57.83,6338.7
2019-10-05,DC_01,58.1,6099.1
2019-10-06,DC_01,57.89,6207.5
2019-10-07,DC_01,58.25,6406.8
2019-10-08,DC_01,58.7,6339.8
2019-10-09,DC_01,57.75,6182.0
2019-10-10,DC_01,57.5,6351.0
2019-10-11,DC_01,58.54,6345.6
2019-10-12,DC_01,58.9,6228.6
2019-10-13,DC_01,57.16,6249.3
2019-10-14,DC_01,57.72,6113.4
2019-10-15,DC_01,58.05,6314.8
2019-10-16,DC_01,58.13,6410.1
2019-10-17,DC_01,57.94,6218.9
2019-10-18,DC_01,57.97,6257.2
2019-10-19,DC_01,57.49,6277.9
2019-10-20,DC_01,56.89,6278.6
2019-10-21,DC_01,57.88,6086.1
2019-10-22,DC_01,58.04,6380.7
2019-10-23,DC_01,57.2,6356.2
2019-10-24,DC_01,57.55,6304.3
2019-10-25,DC_01,58.48,6386.1
2019-10-26,DC_01,57.83,6246.1
2019-10-27,DC_01,58.19,6320.1
2019-10-28,DC_01,57.36,6195.0
2019-10-29,DC_01,58.16,6175.3
2019-10-30,DC_01,58.97,6139.9
2019-10-31,DC_01,58.31,6304.6
2019-11-01,DC_01,58.14,6263.1
2019-11-02,DC_01,57.93,6323.0
2019-11-03,DC_01,57.38,6080.7
2019-11-04,DC_01,58.38,6272.9
2019-11-05,DC_01,57.69,6365.7
2019-11-06,DC_01,58.51,6219.2
2019-11-07,DC_01,58.88,6337.7
2019-11-08,DC_01,57.43,6405.4
2019-11-09,DC_01,58.01,6314.8
2019-11-10,DC_01,57.52,6123.2
2019-11-11,DC_01,58.37,6207.7
2019-11-12,DC_01,57.27,6248.6
2019-11-13,DC_01,57.95,6235.2
2019-11-14,DC_01,58.02,6333.7
2019-11-15,DC_01,58.44,6275.5
2019-11-16,DC_01,57.25,6222.2
2019-11-17,DC_01,57.85,6291.6
2019-11-18,DC_01,57.91,6122.2
2019-11-19,DC_01,57.23,6274.1
2019-11-20,DC_01,58.28,6168.6
2019-11-21,DC_01,58.34,6253.2
2019-11-22,DC_01,57.94,6224.6
2019-11-23,DC_01,57.5,6237.1
2019-11-24,DC_01,57.63,6193.8
2019-11-25,DC_01,59.11,6084.5
2019-11-26,DC_01,58.12,6239.4
2019-11-27,DC_01,57.43,6128.8
2019-11-28,DC_01,56.99,6352.6
2019-11-29,DC_01,57.32,6235.6
2019-11-30,DC_01,57.62,6297.8
2019-12-01,DC_01,57.81,6192.7
2019-12-02,DC_01,57.39,6162.2
2019-12-03,DC_01,58.22,6020.1
2019-12-04,DC_01,56.19,6224.1
2019-12-05,DC_01,57.92,6119.7
2019-12-06,DC_01,57.96,6212.9
2019-12-07,DC_01,56.61,6098.4
2019-12-08,DC_01,57.01,6225.6
2019-12-09,DC_01,57.35,6214.5
2019-12-10,DC_01,57.87,6099.0
2019-12-11,DC_01,57.33,6300.1
2019-12-12,DC_01,57.48,6168.8
2019-12-13,DC_01,57.14,6120.0
2019-12-14,DC_01,57.67,6290.9
2019-12-15,DC_01,57.06,6120.4
2019-12-16,DC_01,56.89,6143.2
2019-12-17,DC_01,57.41,6280.2
2019-12-18,DC_01,57.7,6179.1
2019-12-19,DC_01,57.47,6207.5
2019-12-20,DC_01,57.47,6190.5
2019-12-21,DC_01,57.74,6087.9
2019-12-22,DC_01,57.17,6141.8
2019-12-23,DC_01,57.46,5995.7
2019-12-24,DC_01,57.99,6223.7
2019-12-25,DC_01,57.29,6232.8
2019-12-26,DC_01,57.05,6035.8
2019-12-27,DC_01,57.69,6185.1
2019-12-28,DC_01,56.82,5915.8
2019-12-29,DC_01,58.02,6343.1
2019-12-30,DC_01,56.7,6168.3
2019-12-31,DC_01,57.37,6116.4
2020-01-01,DC_01,56.97,6211.0
2020-01-02,DC_01,57.37,6172.5
2020-01-03,DC_01,58.25,6065.1
2020-01-04,DC_01,56.67,6147.0
2020-01-05,DC_01,56.51,6171.2
2020-01-06,DC_01,57.83,6076.7
2020-01-07,DC_01,57.37,6245.7
2020-01-08,DC_01,57.15,6031.3
2020-01-09,DC_01,57.11,6190.4
2020-01-10,DC_01,56.75,5971.4
2020-01-11,DC_01,56.89,6125.3
2020-01-12,DC_01,57.06,6001.9
2020-01-13,DC_01,56.9,6218.8
2020-01-14,DC_01,57.77,6247.5
2020-01-15,DC_01,56.93,6273.0
2020-01-16,DC_01,57.78,6089.7
2020-01-17,DC_01,57.51,6069.6
2020-01-18,DC_01,56.5,6182.9
2020-01-19,DC_01,56.65,6136.5
2020-01-20,DC_01,57.1,6085.6
2020-01-21,DC_01,56.78,6073.7
2020-01-22,DC_01,56.76,6125.8
2020-01-23,DC_01,57.46,6206.8
2020-01-24,DC_01,57.23,6032.2
2020-01-25,DC_01,57.58,6201.9
2020-01-26,DC_01,56.49,6091.6
2020-01-27,DC_01,56.41,6254.2
2020-01-28,DC_01,56.72,6099.5
2020-01-29,DC_01,57.66,6189.7
2020-01-30,DC_01,56.74,6044.6
2020-01-31,DC_01,57.88,6145.4
2020-02-01,DC_01,56.79,6163.8
2020-02-02,DC_01,57.3,5954.1
2020-02-03,DC_01,57.09,6249.2
2020-02-04,DC_01,55.95,5974.7
2020-02-05,DC_01,56.5,6161.0
2020-02-06,DC_01,57.27,6067.2
2020-02-07,DC_01,57.11,6185.5
2020-02-08,DC_01,56.69,6121.5
2020-02-09,DC_01,56.99,6087.4
2020-02-10,DC_01,57.13,6040.9
2020-02-11,DC_01,55.8,6108.8
2020-02-12,DC_01,56.91,6095.0
2020-02-13,DC_01,56.62,6136.2
2020-02-14,DC_01,57.28,6098.6
2020-02-15,DC_01,57.13,5997.2
2020-02-16,DC_01,57.14,6013.5
2020-02-17,DC_01,57.13,6080.8
2020-02-18,DC_01,55.89,6078.7
2020-02-19,DC_01,56.51,6036.3
2020-02-20,DC_01,56.62,6098.4
2020-02-21,DC_01,56.79,6058.1
2020-02-22,DC_01,56.75,6139.2
2020-02-23,DC_01,55.96,6121.5
2020-02-24,DC_01,57.34,6125.1
2020-02-25,DC_01,56.54,6064.0
2020-02-26,DC_01,55.79,6191.4
2020-02-27,DC_01,57.32,6110.9
2020-02-28,DC_01,56.43,6188.3
2020-02-29,DC_01,57.42,6183.7
2020-03-01,DC_01,56.18,6094.1
2020-03-02,DC_01,56.65,6029.1
2020-03-03,DC_01,56.42,6094.6
2020-03-04,DC_01,57.23,6085.3
2020-03-05,DC_01,56.28,5999.6
2020-03-06,DC_01,57.1,6000.3
2020-03-07,DC_01,56.61,6225.5
2020-03-08,DC_01,56.71,5999.3
2020-03-09,DC_01,57.37,5934.4
2020-03-10,DC_01,57.62,6073.6
2020-03-11,DC_01,56.62,6011.1
2020-03-12,DC_01,56.63,6081.1
2020-03-13,DC_01,56.89,5984.9
2020-03-14,DC_01,56.78,6088.1
2020-03-15,DC_01,55.83,6079.3
2020-03-16,DC_01,56.35,6153.7
2020-03-17,DC_01,56.08,6119.0
2020-03-18,DC_01,56.24,6047.6
2020-03-19,DC_01,57.52,5938.8
2020-03-20,DC_01,55.63,6000.2
2020-03-21,DC_01,57.3,6052.9
2020-03-22,DC_01,56.61,5980.3
2020-03-23,DC_01,56.89,6166.2
2020-03-24,DC_01,56.32,6197.3
2020-03-25,DC_01,56.6,6033.0
2020-03-26,DC_01,57.35,6122.5
2020-03-27,DC_01,56.59,6092.1
2020-03-28,DC_01,57.55,6028.7
2020-03-29,DC_01,55.54,6093.0
2020-03-30,DC_01,57.16,5926.3
2020-03-31,DC_01,56.75,5931.3
2020-04-01,DC_01,56.21,6123.6
2020-04-02,DC_01,57.42,6171.2
2020-04-03,DC_01,56.36,6129.2
2020-04-04,DC_01,56.88,5979.0
2020-04-05,DC_01,56.35,6146.2
2020-04-06,DC_01,56.64,6137.0
2020-04-07,DC_01,57.25,6122.0
2020-04-08,DC_01,58.04,6068.6
2020-04-09,DC_01,56.26,6010.7
2020-04-10,DC_01,57.63,6160.8
2020-04-11,DC_01,57.43,6126.4
2020-04-12,DC_01,57.37,6093.4
2020-04-13,DC_01,57.41,6141.3
2020-04-14,DC_01,56.41,6099.2
2020-04-15,DC_01,56.46,6083.9
2020-04-16,DC_01,56.83,6057.5
2020-04-17,DC_01,57.11,6104.0
2020-04-18,DC_01,56.56,6122.7
2020-04-19,DC_01,56.54,6018.1
2020-04-20,DC_01,56.67,6198.4
2020-04-21,DC_01,56.98,6064.7
2020-04-22,DC_01,57.35,6233.5
2020-04-23,DC_01,56.2,6122.3
2020-04-24,DC_01,57.49,6101.1
2020-04-25,DC_01,57.2,5982.9
2020-04-26,DC_01,56.87,6079.6
2020-04-27,DC_01,57.08,6066.0
2020-04-28,DC_01,57.63,6081.3
2020-04-29,DC_01,56.73,6030.3
2020-04-30,DC_01,56.52,6088.2
2020-05-01,DC_01,56.72,6128.9
2020-05-02,DC_01,56.69,6056.8
2020-05-03,DC_01,57.39,6186.2
2020-05-04,DC_01,57.09,6211.9
2020-05-05,DC_01,56.13,6092.2
2020-05-06,DC_01,57.65,6181.6
2020-05-07,DC_01,56.95,6160.4
2020-05-08,DC_01,57.19,6045.0
2020-05-09,DC_01,57.24,6126.5
2020-05-10,DC_01,56.41,6002.6
2020-05-11,DC_01,56.33,6017.7
2020-05-12,DC_01,56.81,6198.8
2020-05-13,DC_01,56.77,6120.4
2020-05-14,DC_01,57.3,6151.7
2020-05-15,DC_01,58.04,6132.1
2020-05-16,DC_01,57.52,5977.1
2020-05-17,DC_01,56.23,6018.2
2020-05-18,DC_01,57.01,6146.4
2020-05-19,DC_01,56.11,6201.3
2020-05-20,DC_01,57.68,6079.0
2020-05-21,DC_01,56.88,6235.0
2020-05-22,DC_01,57.31,6100.0
2020-05-23,DC_01,57.01,6218.0
2020-05-24,DC_01,57.0,5962.3
2020-05-25,DC_01,56.9,6075.2
2020-05-26,DC_01,57.21,6156.1
2020-05-27,DC_01,56.92,6142.8
2020-05-28,DC_01,57.49,6225.2
2020-05-29,DC_01,57.25,6141.8
2020-05-30,DC_01,57.58,6274.8
2020-05-31,DC_01,57.11,6088.2
2020-06-01,DC_01,57.57,6023.0
2020-06-02,DC_01,58.1,6115.0
2020-06-03,DC_01,56.34,6087.6
2020-06-04,DC_01,56.65,6094.7
2020-06-05,DC_01,57.44,6119.4
2020-06-06,DC_01,57.08,6038.8
2020-06-07,DC_01,57.6,6266.2
2020-06-08,DC_01,57.44,6016.4
2020-06-09,DC_01,57.42,6139.4
2020-06-10,DC_01,56.58,6179.9
2020-06-11,DC_01,57.44,6187.7
2020-06-12,DC_01,58.2,6143.9
2020-06-13,DC_01,57.75,6068.9
2020-06-14,DC_01,57.37,6104.9
2020-06-15,DC_01,57.95,6203.9
2020-06-16,DC_01,57.05,6181.5
2020-06-17,DC_01,57.48,6052.0
2020-06-18,DC_01,57.43,6224.8
2020-06-19,DC_01,56.72,6077.8
2020-06-20,DC_01,57.81,6349.7
2020-06-21,DC_01,57.36,6003.6
2020-06-22,DC_01,58.0,6244.2
2020-06-23,DC_01,57.66,6211.3
2020-06-24,DC_01,57.51,6154.9
2020-06-25,DC_01,57.61,6240.3
2020-06-26,DC_01,57.6,6133.1
2020-06-27,DC_01,58.19,6178.7
2020-06-28,DC_01,57.9,6105.7
2020-06-29,DC_01,56.99,6284.6
2020-06-30,DC_01,57.55,6160.7
2020-07-01,DC_01,56.92,6159.7
2020-07-02,DC_01,58.2,6282.3
2020-07-03,DC_01,56.95,6015.2
2020-07-04,DC_01,57.28,6343.8
2020-07-05,DC_01,58.55,6200.4
2020-07-06,DC_01,57.36,6292.7
2020-07-07,DC_01,57.3,6272.5
2020-07-08,DC_01,58.06,6067.8
2020-07-09,DC_01,57.79,6287.3
2020-07-10,DC_01,57.29,6139.6
2020-07-11,DC_01,57.84,6194.4
2020-07-12,DC_01,57.83,6323.9
2020-07-13,DC_01,58.29,6200.2
2020-07-14,DC_01,57.79,6301.2
2020-07-15,DC_01,58.06,6128.2
2020-07-16,DC_01,58.2,6349.6
2020-07-17,DC_01,57.26,6174.4
2020-07-18,DC_01,58.49,6242.6
2020-07-19,DC_01,57.98,6203.4
2020-07-20,DC_01,58.36,6213.8
2020-07-21,DC_01,57.91,6156.9
2020-07-22,DC_01,58.17,6185.6
2020-07-23,DC_01,57.83,6158.8
2020-07-24,DC_01,58.25,6125.4
2020-07-25,DC_01,57.68,6255.7
2020-07-26,DC_01,57.28,6307.9
2020-07-27,DC_01,58.43,6166.2
2020-07-28,DC_01,57.88,6361.5
2020-07-29,DC_01,58.34,6232.2
2020-07-30,DC_01,56.98,6180.1
2020-07-31,DC_01,57.41,6215.5
2020-08-01,DC_01,57.56,6419.0
2020-08-02,DC_01,58.34,6247.7
2020-08-03,DC_01,58.71,6311.8
2020-08-04,DC_01,57.96,6303.0
2020-08-05,DC_01,58.22,6159.9
2020-08-06,DC_01,57.92,6329.3
2020-08-07,DC_01,57.41,6187.3
2020-08-08,DC_01,57.78,6150.4
2020-08-09,DC_01,57.37,6201.5
2020-08-10,DC_01,57.61,6215.4
2020-08-11,DC_01,57.83,6259.9
2020-08-12,DC_01,58.95,6264.5
2020-08-13,DC_01,58.11,6229.9
2020-08-14,DC_01,57.94,6240.7
2020-08-15,DC_01,58.34,6276.6
2020-08-16,DC_01,57.66,6126.1
2020-08-17,DC_01,59.17,6243.4
2020-08-18,DC_01,58.21,6369.0
2020-08-19,DC_01,56.67,6276.9
2020-08-20,DC_01,57.66,6338.4
2020-08-21,DC_01,58.71,6346.5
2020-08-22,DC_01,58.03,6312.1
2020-08-23,DC_01,57.74,6218.9
2020-08-24,DC_01,58.4,6261.7
2020-08-25,DC_01,57.07,6255.1
2020-08-26,DC_01,57.65,6192.0
2020-08-27,DC_01,57.39,6486.4
2020-08-28,DC_01,57.79,6263.8
2020-08-29,DC_01,58.86,6397.3
2020-08-30,DC_01,58.28,6251.6
2020-08-31,DC_01,58.25,6276.3
2020-09-01,DC_01,57.77,6282.3
2020-09-02,DC_01,58.71,6424.4
2020-09-03,DC_01,57.75,6490.0
2020-09-04,DC_01,57.95,6160.4
2020-09-05,DC_01,58.57,6281.8
2020-09-06,DC_01,57.82,6278.7
2020-09-07,DC_01,58.44,6125.8
2020-09-08,DC_01,57.94,6224.9
2020-09-09,DC_01,58.59,6287.3
2020-09-10,DC_01,58.18,6224.2
2020-09-11,DC_01,57.4,6243.5
2020-09-12,DC_01,57.61,6289.4
2020-09-13,DC_01,57.9,6228.5
2020-09-14,DC_01,58.41,6180.0
2020-09-15,DC_01,59.01,6205.0
2020-09-16,DC_01,57.33,6101.7
2020-09-17,DC_01,57.89,6326.0
2020-09-18,DC_01,58.6,6252.6
2020-09-19,DC_01,58.15,6394.2
2020-09-20,DC_01,58.03,6337.4
2020-09-21,DC_01,58.36,6286.4
2020-09-22,DC_01,57.4,6308.9
2020-09-23,DC_01,58.32,6132.9
2020-09-24,DC_01,58.35,6330.6
2020-09-25,DC_01,58.28,6281.5
2020-09-26,DC_01,58.54,6210.3
2020-09-27,DC_01,58.02,6244.1
2020-09-28,DC_01,58.01,6319.8
2020-09-29,DC_01,58.42,6278.1
2020-09-30,DC_01,56.98,6249.6
2020-10-01,DC_01,58.7,6343.4
2020-10-02,DC_01,58.65,6306.5
2020-10-03,DC_01,58.33,6293.6
2020-10-04,DC_01,57.99,6229.3
2020-10-05,DC_01,58.88,6390.7
2020-10-06,DC_01,58.06,6275.1
2020-10-07,DC_01,57.83,6126.3
2020-10-08,DC_01,57.36,6369.9
2020-10-09,DC_01,57.22,6192.1
2020-10-10,DC_01,58.03,6257.0
2020-10-11,DC_01,58.02,6247.2
2020-10-12,DC_01,57.48,6407.3
2020-10-13,DC_01,57.99,6327.1
2020-10-14,DC_01,57.27,6375.4
2020-10-15,DC_01,58.45,6269.9
2020-10-16,DC_01,57.64,6291.4
2020-10-17,DC_01,58.53,6401.4
2020-10-18,DC_01,57.92,6343.4
2020-10-19,DC_01,58.2,6304.4
2020-10-20,DC_01,58.22,6156.7
2020-10-21,DC_01,58.16,6200.2
2020-10-22,DC_01,57.4,6284.1
2020-10-23,DC_01,57.75,6336.0
2020-10-24,DC_01,56.93,6253.3
2020-10-25,DC_01,58.67,6298.1
